,rank,name,year,Yahoo_rating,country,genres,budget,revenue,keywords,MLens_rating
500,501,Battle of Algiers,1966,4.32,IT,Drama/War/History,800000.0,921548.0,bomb/muslim/resistance/revolution/algerian/independence/insurrection/government/torture/united nations/underground fighting/algiers/military/casbah/battle of algiers/struggle for independence,4.469993781094527
501,502,"Dancer, Sergei Polunin The world's most elegant wild beast",2016,4.31,,,,,,
502,503,Walking to Lhasa -2400km of prayer,2015,4.30,,,,,,
503,504,The Rolling Stones Shine A Light,2008,4.29,GB,Documentary/Music,0.0,0.0,new york/movie business/legend/song/public/rolling stones/rock/guest/music/concert/theatre milieu,4.469993781094527
504,505,Bill Cunningham & New York,2010,4.29,US,Documentary,0.0,1339650.0,"fashion/manhattan, new york city/milliner/new york city ballet/poncho/haute couture/hat shop/traffic/new york times/landlord tenant relationship/le carousel du louvre paris/tearing up a bank check ",4.469993781094527
505,506,Broadway ♪ Broadway Dreams on the Chorus Line,2008,4.28,,,,,,
506,507,Wangsei House,2015,4.27,,,,,,
507,508,WE ARE X,2016,4.26,GB,Music/Documentary,0.0,0.0,rock band/japanese music,4.469993781094527
508,509,Exit Through The Gift Shop,2010,4.26,GB,Documentary,0.0,4790751.0,graffiti/fraud/cousin/painting/street artist/prank/fame/eccentric/art/art gallery/modern art,4.469993781094527
509,510,Promise Nabari Poison Wine Case Life of Death Prisoner,2012,4.22,,,,,,
